Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
5.7525940;-1.8456879;11.3552046;135.6488190;6.3748865;221.7457733;0.58;0.46;-0.3552171;0.6503480;1.5324277;-0.3506964;-1.3388513;0.4869045;1.1333677;-0.1744114;0.3367335;1.7021946;1.4671696;1.1951280;28.8935065;41.1523849;40.8448830;32.9853821;30.2780590;5.9998093;6.6497879;7.5497570
11.0336781;1.3217106;11.0714808;131.6498260;6.3116159;212.2363892;0.59;0.49;0.8042641;0.0461341;1.3476719;-1.1781414;0.4439602;0.6878938;0.3324417;1.2562388;-0.2413988;1.5700920;1.4346831;1.3217136;33.0936044;39.3126011;35.3927307;33.4878502;31.3679886;6.6497860;5.7498150;7.3997631
1.1015987;10.7204189;10.0355139;130.3565826;6.2908807;215.4761810;0.58;0.50;-0.8057840;-0.6984937;1.2824591;-0.9688559;-0.5142164;-0.8888123;-0.6696984;1.0245670;0.1372529;1.6678977;1.4117676;1.2316947;31.1803728;42.2228605;35.2427406;35.0377502;31.5104809;6.8497791;6.1498032;7.2997646
5.6452274;4.0298233;11.3886213;116.0713272;6.0521374;200.5771484;0.57;0.40;-0.5049528;-0.4874484;1.6079818;-0.1146992;-1.1866906;-0.3957558;-1.1087019;0.2027728;-0.2866953;1.7544768;1.2561898;1.1629837;28.3782929;42.8114802;36.2801743;33.0728760;26.0883274;5.7998142;5.7498150;7.7497501
10.9241543;-10.1132641;9.8412790;108.6955414;5.9211268;199.7771912;0.55;0.36;-0.0885806;1.6810783;0.6503633;-1.0952888;0.1493633;-0.5352589;-0.5005147;-0.3814280;0.9177553;1.8046726;1.2281975;1.1127790;26.7448962;43.3740973;34.3902969;24.9234009;34.4402924;5.6498184;7.8497491;6.0998039
2.8056889;-6.4479303;10.7340822;103.0740814;5.8172393;182.9182739;0.58;0.40;-0.8633882;0.3625244;1.2635986;1.0749291;0.3662547;0.6293967;0.1298083;-1.0521178;0.3905460;1.5727507;1.2983664;1.1297470;28.6368132;39.8660600;27.9532089;31.1030025;25.3658733;5.9998074;5.3998260;6.4497929
7.3920383;15.8436108;10.0911760;98.8543625;5.7367477;190.9127655;0.54;0.24;-0.8765875;0.0179925;1.6789449;0.2346777;-1.1020726;0.1343371;0.8882949;0.2453679;0.4611547;1.8940923;1.1347617;1.0305033;22.3244682;41.0329640;32.2604332;32.9553833;24.5259285;6.2498016;5.3998260;8.0497398
1.5055847;-10.8496990;10.0033636;98.4290237;5.7285080;177.2086334;0.58;0.37;-1.2706531;0.1241032;0.9898934;0.6662600;0.6679976;0.7714818;0.3174723;-0.9205874;0.5229301;1.6155031;1.2187319;1.1053170;27.7597874;40.5729949;24.9833984;30.3080540;27.9807072;6.7497835;5.2498322;6.1498032
1.8189125;1.5546188;9.9064207;96.1018753;5.6830010;178.9285278;0.57;0.44;-1.3077779;0.4806822;0.4203510;0.4507122;0.2007432;1.1726816;-0.3024425;-1.0872585;0.3023620;1.4553465;1.2722505;1.1683428;31.1653167;38.8210773;25.1258888;29.5506039;28.5606689;6.8997784;5.4498253;6.0498066
9.4916878;-4.0507946;1.7906694;89.4136429;5.5479822;176.7186584;0.55;0.48;1.1826649;-0.0926290;0.7064837;0.6628373;0.2089772;-1.0822005;0.0317166;-1.1698444;-0.2064755;1.3807228;1.2861503;1.1883492;33.4727854;38.8914615;26.4583035;27.6007290;26.3683090;6.1498032;5.3998280;6.3497963
13.1099548;-5.1149273;-4.1847849;85.3042908;5.4616528;169.3091431;0.55;0.33;1.2042930;-0.1054980;1.2893966;-0.4578299;-0.9773891;0.3476422;0.5853335;-0.4826824;-0.5861928;1.7674826;1.1339104;0.9587594;24.1804153;44.5768416;26.4008083;28.4681721;25.1733856;6.2998009;5.0998363;6.5997887
-5.5119591;-6.6349993;11.2299910;85.2517929;5.4605322;165.9493561;0.56;0.40;-0.3809668;-0.0968526;1.4261128;0.7896516;0.9648294;0.2764699;-0.7573497;0.6648769;-0.1571615;1.4792950;1.2770594;1.0199704;27.6158899;40.0521874;29.4081154;27.0807610;21.7861042;5.6498184;5.4498253;6.9997749
11.9335251;-6.9183731;6.1763678;83.9371719;5.4323187;161.2946472;0.57;0.48;0.7109289;0.7124432;1.0652856;0.0091815;-1.0752275;0.7129648;-0.8656634;0.2602618;0.4036508;1.4655472;1.2901617;0.9899713;28.4544528;42.1237856;29.2731228;23.2135105;24.1284542;5.1998329;5.9998093;6.3497963
11.0837803;12.9508533;9.3566427;83.4457169;5.4216957;164.9444275;0.56;0.47;0.4371426;-0.1667718;1.3736445;1.0434347;0.6904977;-0.2482260;-0.4955353;0.8422713;0.2599556;1.4511395;1.2756015;1.0112137;28.9574385;41.5552914;26.9582710;28.4106770;22.0260887;5.8998108;5.1498337;6.5997868
4.5776138;8.2849770;11.3129091;79.9778061;5.3455238;165.7193756;0.54;0.27;-0.6743273;-0.0292683;1.5439864;0.6196025;0.8584114;0.2868801;0.7212069;-0.6218953;0.3031941;1.6850722;1.0968490;0.9994097;24.2476314;40.8831388;29.2256260;28.3181820;21.0311527;5.4998245;4.9998398;7.6497536
8.0443916;-6.4336090;8.0135832;79.9263077;5.3443766;162.4995728;0.55;0.26;-0.6675346;0.2592057;1.4441245;0.0400142;-1.1255394;0.2205192;0.8978304;0.1093833;0.3953815;1.6119199;1.1476362;0.9871123;23.4861702;38.3520931;28.7981548;25.5133629;22.8385353;4.9998398;5.6498203;7.5997562
12.8374329;-6.5064306;1.2702284;79.7042007;5.3394213;161.1696625;0.56;0.34;1.0024872;0.5852425;1.2501584;-0.2868081;-0.8548722;0.6301834;-0.7250658;0.4994918;0.3475922;1.7059852;1.1000893;0.9465901;24.7435734;44.5939273;26.3458118;26.3358097;23.7284794;5.9498081;5.5998211;6.6997833
1.7304058;6.0223312;9.0309000;76.3121567;5.2625756;145.1456909;0.60;0.48;-1.2462956;0.0682248;0.5689273;-0.3098854;0.8299922;-0.7783682;0.3405407;0.7431598;0.6568720;1.3717090;1.1793103;1.0486826;31.2884659;40.9262747;21.0536499;23.7534752;24.4034348;6.1998005;4.8998432;5.0498390
