Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
13.1573772;9.6151180;9.2179632;127.3652573;6.2423882;223.8956604;0.55;0.36;-0.5730668;-1.0124524;1.4828945;-0.6885207;0.9954082;0.4135392;-0.9144644;-0.3783863;-0.6117408;1.8847922;1.2790282;1.1634638;26.5592158;43.0254936;38.4075394;34.4452934;32.2854347;6.0498028;7.2997665;7.5497589
5.1595993;13.2216320;-0.3839016;126.2697372;6.2244391;215.2662048;0.57;0.49;0.2492663;1.0286784;-1.2351059;-1.2555916;0.6702778;0.3048513;-0.5712224;-0.7380372;-0.7299694;1.6265913;1.4555813;1.1848415;29.9566865;41.1255777;32.9878845;33.4578552;34.7327766;6.4497929;7.0497704;7.0497742
-10.6048012;6.9600697;9.9518232;121.2142258;6.1402349;204.2869110;0.58;0.59;0.0312585;-1.2592411;0.8912166;1.3405776;-0.1131720;-0.2069253;0.2174249;0.7226128;1.0133870;1.5430270;1.3611666;1.2634857;34.5210522;42.1587050;32.8753929;29.9930782;32.9753876;6.3997946;6.7497845;6.3497963
-3.2053747;3.7930450;8.6743326;120.3453064;6.1255279;205.8267822;0.57;0.51;-0.3969301;-1.3475598;0.7368597;1.2930644;-0.4000905;-0.0351351;0.1986505;0.5450861;1.1038554;1.5863270;1.3540022;1.2470275;32.5178087;41.3654685;32.6704063;30.9730148;34.1128159;6.3997936;7.0497742;6.1498032
-2.9603958;13.0929718;-0.0507793;114.3825073;6.0226412;202.4869995;0.56;0.45;-0.3502733;-1.3177164;0.9630746;-1.1946831;0.5318298;0.2931604;-0.4529229;-0.5282283;-0.8874722;1.6693053;1.3401693;1.1277283;28.7326097;42.5310791;31.7454643;29.8105888;33.1178818;6.3997955;7.1497707;6.3997936
2.0917072;2.1593170;7.7688665;110.2665253;5.9495168;187.1480103;0.59;0.55;-1.2501143;0.1718095;0.8262461;0.0920321;1.3164415;-0.1344956;-0.6726661;-0.0557685;-1.0061505;1.5083060;1.3264906;1.2115810;33.4459662;41.6371256;28.6406631;30.0755730;30.6405392;6.3497982;6.0998058;5.7998142
14.6864262;3.3342819;-2.6901979;109.2612457;5.9313812;191.9226990;0.58;0.42;-0.3273827;0.8985469;1.3379425;-0.4718184;-1.0903165;0.6167944;-0.9972727;0.2127011;-0.3868714;1.6445838;1.3385956;1.0906255;27.4335057;41.3677275;34.5302849;28.4631748;27.4082451;5.3498306;6.4997940;7.2997665
10.1860371;12.8728867;-2.3577805;109.0221481;5.9270515;194.0975647;0.57;0.46;-0.4964805;-1.2171447;1.0376562;-0.7888886;0.8390417;0.6067204;-0.8232226;-0.2646883;-0.7043547;1.6747133;1.3017088;1.1152897;29.0701598;43.6516047;33.3403625;27.1082630;30.4080544;5.4998245;6.8997803;6.5997868
-1.8912163;10.2165394;-4.8356504;106.2059174;5.8755703;191.9577026;0.56;0.43;-0.2285774;-0.9282635;1.3979956;1.1777412;-0.4768421;-0.1240562;0.3955074;0.8186172;0.6082255;1.6936092;1.2766528;1.0938457;28.1452686;43.5775250;30.8780212;30.5780392;28.6556664;5.9998074;6.3997955;6.7997823
4.6379166;9.5007305;3.9148359;105.9796906;5.8713956;188.4129181;0.57;0.58;-0.4842364;0.6628507;-1.1610421;-1.2755758;-0.1273434;0.4593033;-0.0984489;-1.0708839;-0.5703183;1.4219264;1.3617156;1.2172705;34.5745236;40.3874308;28.1531944;31.4579830;29.0881386;6.2997971;6.0998039;6.3497963
